;instance;time;graph nodes/edges;backtrack nodes;time_limit;colors bound;optimum;gap;is_exact
0;anna;5.001007795333862;138 / 986;139;5;18;11;63.64;False
1;jean;5.000192165374756;80 / 508;81;5;10;10;0.0;False
2;le450_25b;5.002623796463013;450 / 16526;451;5;28;25;12.0;False
3;myciel3;0.003935813903808594;11 / 40;12;5;4;4;0.0;True
4;myciel4;1.1617944240570068;23 / 142;24;5;5;5;0.0;True
5;myciel5;5.0009870529174805;47 / 472;48;5;6;6;0.0;False
6;myciel6;5.000316858291626;95 / 1510;96;5;12;7;71.43;False
7;myciel7;5.0001935958862305;191 / 4720;192;5;12;8;50.0;False
8;queen13_13;5.000194549560547;169 / 6656;170;5;25;13;92.31;False
9;toy_chain;0.0009925365447998047;5 / 8;6;5;2;2;0.0;True
10;toy_cycle;0.0010025501251220703;5 / 10;;5;3;2;50.0;True
11;toy_triangle;0.0;3 / 6;;5;3;3;0.0;True
