;instance;time;graph nodes/edges;backtrack nodes;time_limit;colors bound;optimum;gap;finished
0;anna;30.00028944015503;138 / 986;139;30;18;11;63.64;False
1;jean;30.00022029876709;80 / 508;81;30;10;10;0.0;False
2;le450_25b;30.000858783721924;450 / 16526;451;30;28;25;12.0;False
3;myciel3;0.003999233245849609;11 / 40;12;30;4;4;0.0;True
4;myciel4;1.2633748054504395;23 / 142;24;30;5;5;0.0;True
5;myciel5;30.00119662284851;47 / 472;48;30;6;6;0.0;False
6;myciel6;30.000813007354736;95 / 1510;96;30;12;7;71.43;False
7;myciel7;30.000218629837036;191 / 4720;192;30;12;8;50.0;False
8;queen13_13;30.000996351242065;169 / 6656;170;30;25;13;92.31;False
9;toy_chain;0.0010023117065429688;5 / 8;6;30;2;2;0.0;True
10;toy_odd_cycle;0.0;5 / 10;;30;3;3;0.0;True
11;toy_even_cycle;0.0;4 / 8;5;30;2;2;0.0;True
12;toy_triangle;0.0;3 / 6;;30;3;3;0.0;True
