;instance;time;graph nodes/edges;backtrack nodes;time_limit;start colors;colors bound;optimum;gap;finished
0;anna;30.00008773803711;138 / 986;139;30;143;18;11;63.64;False
1;jean;30.000768423080444;80 / 508;81;30;73;10;10;0.0;False
2;le450_25b;30.000737190246582;450 / 16526;451;30;112;28;25;12.0;False
3;myciel3;0.004998922348022461;11 / 40;12;30;6;4;4;0.0;True
4;myciel4;1.327040195465088;23 / 142;24;30;12;5;5;0.0;True
5;myciel5;30.000046014785767;47 / 472;48;30;24;6;6;0.0;False
6;myciel6;30.000711679458618;95 / 1510;96;30;48;12;7;71.43;False
7;myciel7;30.000468492507935;191 / 4720;192;30;96;12;8;50.0;False
8;queen13_13;30.00096321105957;169 / 6656;170;30;97;25;13;92.31;False
9;toy_chain;0.0;5 / 8;6;30;3;2;2;0.0;True
10;toy_odd_cycle;0.0010023117065429688;5 / 10;;30;3;3;3;0.0;True
11;toy_even_cycle;0.0;4 / 8;5;30;3;2;2;0.0;True
12;toy_triangle;0.0;3 / 6;;30;3;3;3;0.0;True
