;instance;backtrack nodes;back track time;backjump nodes;backjump time;result
0;3 queens;6;0.0;6;0.0;False
1;6 queens;38;0.001508951187133789;7;0.0;True
2;9 queens;83;0.0009922981262207031;10;0.0;True
3;12 queens;241;0.0044858455657958984;13;0.0009989738464355469;True
4;15 queens;29;0.0009930133819580078;16;0.0009965896606445312;True
5;18 queens;53;0.0019872188568115234;19;0.0;True
6;21 queens;63;0.0030045509338378906;22;0.0019953250885009766;True
7;24 queens;884;0.030107975006103516;25;0.001988649368286133;True
8;27 queens;346;0.014471054077148438;28;0.0035135746002197266;True
9;30 queens;502;0.02140665054321289;31;0.004580020904541016;True
10;33 queens;863;0.03745579719543457;34;0.004980325698852539;True
11;36 queens;72;0.00949406623840332;37;0.00711512565612793;True
12;39 queens;121;0.013142824172973633;40;0.010813713073730469;True
13;42 queens;62;0.013010978698730469;43;0.01116037368774414;True
14;45 queens;48;0.015024423599243164;46;0.014473915100097656;True
15;48 queens;102;0.02347588539123535;49;0.018185138702392578;True
16;51 queens;195;0.03127646446228027;52;0.02382373809814453;True
17;54 queens;628;0.060716867446899414;55;0.02402520179748535;True
18;57 queens;62;0.029407024383544922;58;0.028375864028930664;True
19;60 queens;95;0.03524160385131836;61;0.0324559211730957;True
20;63 queens;89;0.038077354431152344;64;0.036348581314086914;True
21;66 queens;75;0.043178558349609375;67;0.04186058044433594;True
22;69 queens;148;0.052683353424072266;70;0.04853343963623047;True
23;72 queens;102;0.060704708099365234;73;0.06411933898925781;True
24;75 queens;79;0.0645451545715332;76;0.0632941722869873;True
25;78 queens;96;0.06997036933898926;79;0.06888985633850098;True
26;81 queens;957;0.1487278938293457;82;0.0743710994720459;True
27;84 queens;179;0.09324884414672852;85;0.08328723907470703;True
28;87 queens;366;0.12166118621826172;88;0.09447646141052246;True
29;90 queens;127;0.11014199256896973;91;0.10526371002197266;True
30;93 queens;923;0.19780182838439941;94;0.11405634880065918;True
31;96 queens;99;0.1243445873260498;97;0.1282670497894287;True
32;99 queens;565;0.18145418167114258;100;0.14143800735473633;True
33;102 queens;130;0.16495227813720703;103;0.15097856521606445;True
34;105 queens;128;0.16356158256530762;106;0.1634669303894043;True
35;108 queens;161;0.18187594413757324;109;0.1746985912322998;True
36;111 queens;38251;4.6955320835113525;112;0.18848943710327148;True
37;114 queens;115;0.2102642059326172;115;0.21077990531921387;True
38;117 queens;324;0.25194597244262695;118;0.22090673446655273;True
