;instance;nodes;time;time/node;result
0;3 queens;6;0.0;0.0;False
1;6 queens;33;0.001;3e-05;True
2;9 queens;76;0.003;3.9e-05;True
3;12 queens;222;0.017;7.7e-05;True
4;15 queens;26;0.002;7.7e-05;True
5;18 queens;47;0.003;6.4e-05;True
6;21 queens;59;0.009;0.000153;True
7;24 queens;795;0.0576;7.2e-05;True
8;27 queens;261;0.026;0.0001;True
9;30 queens;416;0.04;9.6e-05;True
10;33 queens;777;0.076;9.8e-05;True
11;36 queens;65;0.028;0.000431;True
12;39 queens;106;0.044;0.000415;True
13;42 queens;61;0.05;0.00082;True
14;45 queens;48;0.068;0.001417;True
15;48 queens;89;0.117;0.001315;True
16;51 queens;168;0.164;0.000976;True
17;54 queens;538;0.202;0.000375;True
18;57 queens;58;0.256;0.004414;True
19;60 queens;89;0.215;0.002416;True
20;63 queens;92;0.299;0.00325;True
21;66 queens;75;0.3221;0.004295;True
22;69 queens;142;0.39;0.002746;True
23;72 queens;93;0.47;0.005054;True
24;75 queens;77;0.514;0.006675;True
25;78 queens;94;0.684;0.007277;True
26;81 queens;855;2.2936;0.002683;True
27;84 queens;179;0.9;0.005028;True
28;87 queens;250;1.011;0.004044;True
29;90 queens;125;1.108;0.008864;True
30;93 queens;803;1.497;0.001864;True
31;96 queens;110;1.4269;0.012972;True
32;99 queens;427;1.6881;0.003953;True
33;102 queens;128;1.8559;0.014499;True
34;105 queens;128;2.0079;0.015687;True
35;108 queens;152;2.1637;0.014235;True
36;111 queens;33086;11.813;0.000357;True
37;114 queens;115;3.22;0.028;True
38;117 queens;180;3.187;0.017706;True
