;instance;nodes;time;result
0;3 queens;1;0.0;False
1;4 queens;6;0.001;True
2;5 queens;6;0.0;True
3;6 queens;14;0.001;True
4;7 queens;12;0.001;True
5;8 queens;19;0.001;True
6;9 queens;30;0.004;True
7;10 queens;34;0.0061;True
8;11 queens;77;0.0125;True
9;12 queens;79;0.0135;True
10;13 queens;117;0.021;True
11;14 queens;154;0.0294;True
12;15 queens;16;0.0085;True
13;16 queens;88;0.0235;True
14;17 queens;282;0.0651;True
15;18 queens;23;0.0194;True
16;19 queens;87;0.0359;True
17;20 queens;202;0.0595;True
18;21 queens;33;0.0336;True
19;22 queens;29;0.0395;True
20;23 queens;47;0.0498;True
21;24 queens;275;0.124;True
22;25 queens;85;0.0856;True
23;26 queens;88;0.0945;True
24;27 queens;104;0.1152;True
25;28 queens;88;0.1194;True
26;29 queens;236;0.1761;True
27;30 queens;133;0.1471;True
28;31 queens;47;0.135;True
29;32 queens;63;0.1635;True
30;33 queens;253;0.2174;True
31;34 queens;42;0.1965;True
32;35 queens;54;0.2155;True
33;36 queens;40;0.2345;True
34;37 queens;46;0.2644;True
35;38 queens;51;0.2946;True
36;39 queens;67;0.3222;True
