;instance;nodes;time;result
0;3 queens;1;0.0002;False
1;4 queens;8;0.0014;True
2;5 queens;8;0.0033;True
3;6 queens;19;0.0111;True
4;7 queens;15;0.0121;True
5;8 queens;27;0.0186;True
6;9 queens;51;0.0457;True
7;10 queens;62;0.089;True
8;11 queens;128;0.2259;True
9;12 queens;150;0.6127;True
10;13 queens;179;0.6977;True
11;14 queens;294;0.8248;True
12;15 queens;18;0.0538;True
13;16 queens;140;0.4987;True
14;17 queens;503;2.8402;True
15;18 queens;28;0.3475;True
16;19 queens;183;2.0106;True
17;20 queens;260;2.1225;True
18;21 queens;48;0.4959;True
19;22 queens;31;0.3573;True
20;23 queens;74;0.7772;True
21;24 queens;435;4.3413;True
22;25 queens;141;1.9693;True
23;26 queens;133;1.7364;True
24;27 queens;216;4.3141;True
25;28 queens;144;3.2986;True
26;29 queens;408;9.5784;True
