;instance;nodes;time;result
0;3 queens;1;0.0;False
1;4 queens;6;0.0;True
2;5 queens;7;0.0;True
3;6 queens;14;0.001;True
4;7 queens;8;0.001;True
5;8 queens;10;0.001;True
6;9 queens;11;0.002;True
7;10 queens;12;0.003;True
8;11 queens;34;0.006;True
9;12 queens;15;0.005;True
10;13 queens;23;0.01;True
11;14 queens;79;0.02;True
12;15 queens;16;0.012;True
13;16 queens;23;0.015;True
14;17 queens;20;0.019;True
15;18 queens;20;0.025;True
16;19 queens;54;0.037;True
17;20 queens;32;0.044;True
18;21 queens;32;0.043;True
19;22 queens;30;0.051;True
20;23 queens;24;0.066;True
21;24 queens;60;0.076;True
22;25 queens;27;0.079;True
23;26 queens;31;0.104;True
24;27 queens;29;0.104;True
25;28 queens;4217;2.84;True
26;29 queens;31;0.178;True
27;30 queens;32;0.202;True
28;31 queens;32;0.215;True
29;32 queens;262;0.481;True
30;33 queens;97;0.386;True
31;34 queens;44;0.305;True
32;35 queens;75;0.352;True
33;36 queens;201;0.44;True
34;37 queens;49;0.376;True
35;38 queens;42;0.416;True
36;39 queens;142;0.602;True
