;instance;nodes;time;time/node;result
0;3 queens;6;0.0;0.0;False
1;6 queens;38;0.002;5.3e-05;True
2;9 queens;83;0.006;7.2e-05;True
3;12 queens;241;0.026;0.000108;True
4;15 queens;29;0.008;0.000276;True
5;18 queens;53;0.01;0.000189;True
6;21 queens;63;0.022;0.000349;True
7;24 queens;884;0.122;0.000138;True
8;27 queens;346;0.054;0.000156;True
9;30 queens;502;0.082;0.000163;True
10;33 queens;863;0.074;8.6e-05;True
11;36 queens;72;0.016;0.000222;True
12;39 queens;121;0.024;0.000198;True
13;42 queens;62;0.039;0.000629;True
14;45 queens;48;0.039;0.000812;True
15;48 queens;102;0.035;0.000343;True
16;51 queens;195;0.091;0.000467;True
17;54 queens;628;0.122;0.000194;True
18;57 queens;62;0.056;0.000903;True
19;60 queens;95;0.053;0.000558;True
20;63 queens;89;0.069;0.000775;True
21;66 queens;75;0.08;0.001067;True
22;69 queens;148;0.091;0.000615;True
23;72 queens;102;0.098;0.000961;True
24;75 queens;79;0.107;0.001354;True
25;78 queens;96;0.115;0.001198;True
26;81 queens;957;0.231;0.000241;True
27;84 queens;179;0.137;0.000765;True
28;87 queens;366;0.184;0.000503;True
29;90 queens;127;0.152;0.001197;True
30;93 queens;923;0.323;0.00035;True
31;96 queens;99;0.177;0.001788;True
32;99 queens;565;0.276;0.000488;True
33;102 queens;130;0.219;0.001685;True
34;105 queens;128;0.36;0.002812;True
35;108 queens;161;0.537;0.003335;True
36;111 queens;38251;10.056;0.000263;True
37;114 queens;115;0.335;0.002913;True
38;117 queens;324;0.403;0.001244;True
