;instance;nodes;time;result
0;3 queens;1;0.0;False
1;4 queens;8;0.001;True
2;5 queens;8;0.001;True
3;6 queens;19;0.003;True
4;7 queens;15;0.006;True
5;8 queens;27;0.009;True
6;9 queens;51;0.021;True
7;10 queens;62;0.0299;True
8;11 queens;128;0.079;True
9;12 queens;150;0.113;True
10;13 queens;179;0.1561;True
11;14 queens;294;0.298;True
12;15 queens;18;0.028;True
13;16 queens;140;0.287;True
14;17 queens;503;1.313;True
15;18 queens;28;0.08;True
16;19 queens;183;0.586;True
17;20 queens;260;0.729;True
18;21 queens;48;0.181;True
19;22 queens;31;0.15;True
20;23 queens;74;0.334;True
21;24 queens;435;3.649;True
22;25 queens;141;1.0347;True
23;26 queens;133;0.8617;True
24;27 queens;216;1.9811;True
25;28 queens;144;0.986;True
26;29 queens;408;2.936;True
27;30 queens;204;1.867;True
28;31 queens;73;0.772;True
29;32 queens;84;1.0929;True
30;33 queens;380;4.3239;True
31;34 queens;46;0.703;True
32;35 queens;72;1.239;True
33;36 queens;43;0.805;True
34;37 queens;83;1.5611;True
35;38 queens;59;1.4;True
36;39 queens;83;2.05;True
