;instance;nodes;time;result
0;3 queens;6;0.0;False
1;4 queens;9;0.0;True
2;5 queens;8;0.0;True
3;6 queens;42;0.001;True
4;7 queens;20;0.001;True
5;8 queens;46;0.005;True
6;9 queens;100;0.003;True
7;10 queens;125;0.006;True
8;11 queens;383;0.021;True
9;12 queens;409;0.014;True
10;13 queens;530;0.017;True
11;14 queens;928;0.022;True
12;15 queens;184;0.004;True
13;16 queens;510;0.011;True
14;17 queens;2579;0.055;True
15;18 queens;589;0.014;True
16;19 queens;811;0.021;True
17;20 queens;12413;0.3845;True
18;21 queens;1875;0.061;True
19;22 queens;5598;0.202;True
20;23 queens;12188;0.4586;True
21;24 queens;24332;0.7643;True
22;25 queens;106360;5.8798;True
23;26 queens;32829;1.3;True
24;27 queens;130891;5.4656;True
25;28 queens;47819;2.1702;True
26;29 queens;222659;8.9647;True
27;30 queens;155465;8.3105;True
