;instance;smallest nodes;mean random nodes;smallest time;mean random time
0;3 queens;1;1;0.0002;0.0001
1;6 queens;14;10;0.0023;0.0013
2;9 queens;30;19;0.0089;0.0042
3;12 queens;79;25;0.0259;0.0111
4;15 queens;16;44;0.02;0.0204
5;18 queens;23;62;0.0278;0.037
6;21 queens;33;42;0.0521;0.0531
7;24 queens;275;47;0.1522;0.0808
8;27 queens;104;79;0.1583;0.1312
9;30 queens;133;101;0.2251;0.1942
10;33 queens;253;200;0.3266;0.3469
11;36 queens;40;100;0.3881;0.3814
12;39 queens;67;110;0.5314;0.5129
13;42 queens;47;518;0.739;0.823
14;45 queens;53;303;0.9062;0.9862
15;48 queens;58;208;1.144;1.3002
