;instance;nodes;time;result
0;3 queens;6;0.0003;False
1;8 queens;41;0.0037;True
2;13 queens;315;0.0614;True
3;18 queens;53;0.015;True
4;23 queens;110;0.0364;True
5;28 queens;258;0.1349;True
6;33 queens;863;0.4784;True
7;38 queens;50;0.0728;True
8;43 queens;96;0.1212;True
9;48 queens;102;0.1593;True
10;53 queens;76;0.2075;True
11;58 queens;76;0.2648;True
12;63 queens;89;0.3524;True
13;68 queens;69;0.4778;True
14;73 queens;166;0.5216;True
15;78 queens;96;0.5399;True
16;83 queens;458;1.3876;True
17;88 queens;1183;2.0466;True
18;93 queens;923;1.7146;True
19;98 queens;132;1.2182;True
20;103 queens;339;1.5937;True
21;108 queens;161;1.418;True
