;instance;nodes;time;result
0;3 queens;6;0.0004;False
1;8 queens;41;0.0044;True
2;13 queens;315;0.0419;True
3;18 queens;53;0.0136;True
4;23 queens;110;0.0491;True
5;28 queens;258;0.0949;True
6;33 queens;863;0.19;True
7;38 queens;50;0.0613;True
8;43 queens;96;0.128;True
9;48 queens;102;0.1971;True
10;53 queens;76;0.2903;True
11;58 queens;76;0.2877;True
12;63 queens;89;0.5048;True
13;68 queens;69;0.5284;True
14;73 queens;166;0.6436;True
15;78 queens;96;0.7341;True
16;83 queens;458;1.155;True
17;88 queens;1183;1.9229;True
18;93 queens;923;1.6341;True
19;98 queens;132;1.3312;True
20;103 queens;339;1.5805;True
21;108 queens;161;1.6954;True
