;instance;time;backjump nodes;time_limit;finished
0;almost_full;0.002517223358154297;82;30;True
1;easy1;0.004511117935180664;120;30;True
2;easy10;0.003138303756713867;82;30;True
3;easy2;0.03909587860107422;1087;30;True
4;easy3;0.005530357360839844;177;30;True
5;easy4;0.0039861202239990234;119;30;True
6;easy5;0.005007266998291016;157;30;True
7;easy6;0.014618396759033203;366;30;True
8;easy7;0.0029866695404052734;92;30;True
9;easy8;0.0026128292083740234;104;30;True
10;easy9;0.002579212188720703;82;30;True
11;intermediate1;0.0032432079315185547;115;30;True
12;intermediate10;0.05844616889953613;1530;30;True
13;intermediate2;0.005986452102661133;175;30;True
14;intermediate3;0.003350496292114258;82;30;True
15;intermediate4;0.0045375823974609375;144;30;True
16;intermediate5;0.013052940368652344;323;30;True
17;intermediate6;0.023564815521240234;537;30;True
18;intermediate7;0.051488637924194336;1384;30;True
19;intermediate8;0.0024993419647216797;90;30;True
20;intermediate9;0.002995729446411133;88;30;True
21;expert1;0.002490997314453125;94;30;True
22;expert10;0.02254462242126465;484;30;True
23;expert2;0.005541563034057617;137;30;True
24;expert3;0.004499912261962891;132;30;True
25;expert4;0.001992940902709961;86;30;True
26;expert5;0.004891872406005859;143;30;True
27;expert6;0.024389266967773438;658;30;True
28;expert7;0.005446434020996094;158;30;True
29;expert8;0.054270029067993164;1390;30;True
30;expert9;0.005486726760864258;151;30;True
