;instance;time;backjump nodes;time_limit;finished
0;almost_full;0.0035076141357421875;82;30;True
1;easy1;0.003985881805419922;120;30;True
2;easy10;0.0029976367950439453;82;30;True
3;easy2;0.04046511650085449;1087;30;True
4;easy3;0.006497621536254883;177;30;True
5;easy4;0.0047605037689208984;119;30;True
6;easy5;0.0062181949615478516;157;30;True
7;easy6;0.014795303344726562;366;30;True
8;easy7;0.0034906864166259766;92;30;True
9;easy8;0.0029900074005126953;104;30;True
10;easy9;0.0019943714141845703;82;30;True
11;intermediate1;0.0039865970611572266;115;30;True
12;intermediate10;0.06057596206665039;1530;30;True
13;intermediate2;0.0067598819732666016;175;30;True
14;intermediate3;0.0032508373260498047;82;30;True
15;intermediate4;0.0045392513275146484;144;30;True
16;intermediate5;0.014152050018310547;323;30;True
17;intermediate6;0.024359941482543945;537;30;True
18;intermediate7;0.05129218101501465;1384;30;True
19;intermediate8;0.003991127014160156;90;30;True
20;intermediate9;0.0030083656311035156;88;30;True
21;expert1;0.002989530563354492;94;30;True
22;expert10;0.02143120765686035;484;30;True
23;expert2;0.0029866695404052734;137;30;True
24;expert3;0.003991603851318359;132;30;True
25;expert4;0.002020120620727539;86;30;True
26;expert5;0.004982709884643555;143;30;True
27;expert6;0.025305986404418945;658;30;True
28;expert7;0.005509853363037109;158;30;True
29;expert8;0.0586855411529541;1390;30;True
30;expert9;0.0050127506256103516;151;30;True
