,instance,backtrack nodes,back track time,backjump nodes,backjump time,result,node ratio,time ratio,time per node ratio
0,almost_full,82,0.0010023117065429688,82,0.0030341148376464844,True,0.0,-200.70923984886994,200.70923984886994
1,easy1,120,0.003983736038208008,120,0.004017829895019531,True,0.0,-0.8536832801504172,0.8536832801504145
2,easy10,82,0.0029861927032470703,82,0.002516031265258789,True,0.0,15.691962585675887,-15.691962585675896
3,easy2,1587,0.0456387996673584,1087,0.03950786590576172,True,31.505986137366097,13.430657117542264,26.379571263969908
4,easy3,177,0.0049839019775390625,177,0.0065250396728515625,True,0.0,-30.860391378205527,30.86039137820551
5,easy4,119,0.003522634506225586,119,0.003992795944213867,True,0.0,-13.309088080290007,13.309088080290007
6,easy5,157,0.004679679870605469,157,0.0059757232666015625,True,0.0,-27.63607392733965,27.636073927339645
7,easy6,366,0.010484457015991211,366,0.014554977416992188,True,0.0,-38.787336922705116,38.78733692270512
8,easy7,92,0.002996206283569336,92,0.0029947757720947266,True,0.0,0.04758527325380003,-0.04758527325379732
9,easy8,104,0.0029997825622558594,104,0.002986431121826172,True,0.0,0.44360149457708575,-0.44360149457708126
10,easy9,82,0.003122091293334961,82,0.0029900074005126953,True,0.0,4.2171150343969215,-4.217115034396919
11,intermediate1,115,0.003829479217529297,115,0.003988742828369141,True,0.0,-4.148052426295715,4.148052426295723
12,intermediate10,1547,0.04280376434326172,1530,0.058721303939819336,True,1.098901098901099,-37.17855657105473,38.70250323323919
13,intermediate2,175,0.005481243133544922,175,0.006418704986572266,True,0.0,-17.071942185560392,17.0719421855604
14,intermediate3,82,0.002031087875366211,82,0.002994537353515625,True,0.0,-47.20274368278007,47.20274368278006
15,intermediate4,144,0.004164934158325195,144,0.0049855709075927734,True,0.0,-19.65628003093545,19.65628003093544
16,intermediate5,323,0.009489059448242188,323,0.014114618301391602,True,0.0,-48.69491425285668,48.69491425285669
17,intermediate6,537,0.015256166458129883,537,0.024895191192626953,True,0.0,-63.139785360874804,63.139785360874804
18,intermediate7,1598,0.048209190368652344,1384,0.058455705642700195,True,13.391739674593243,-21.249870011731236,39.994836858161506
19,intermediate8,90,0.0029861927032470703,90,0.002568483352661133,True,0.0,13.941337956442268,-13.94133795644226
20,intermediate9,88,0.001991748809814453,88,0.0035746097564697266,True,0.0,-79.0739047224408,79.07390472244079
21,expert1,94,0.0029926300048828125,94,0.003495931625366211,True,0.0,-16.76202594608527,16.76202594608527
22,expert10,484,0.013999223709106445,484,0.019971609115600586,True,0.0,-42.631808375020086,42.63180837502008
23,expert2,137,0.003988027572631836,137,0.004493236541748047,True,0.0,-12.636455350497751,12.636455350497755
24,expert3,132,0.0039865970611572266,132,0.005512237548828125,True,0.0,-38.17348770278946,38.17348770278946
25,expert4,86,0.0029900074005126953,86,0.0029926300048828125,True,0.0,-0.08741993001980561,0.08741993001980515
26,expert5,143,0.0034945011138916016,143,0.004984855651855469,True,0.0,-42.526867292357366,42.52686729235738
27,expert6,658,0.0184781551361084,658,0.02552628517150879,True,0.0,-38.12240855570819,38.122408555708176
28,expert7,158,0.00448918342590332,158,0.0059814453125,True,0.0,-33.167393843185486,33.167393843185486
29,expert8,1390,0.04211592674255371,1390,0.05829191207885742,True,0.0,-38.399120416177,38.399120416177
30,expert9,151,0.004580497741699219,151,0.004984617233276367,True,0.0,-8.803391577915463,8.803391577915457
