,instance,backtrack nodes,back track time,backjump nodes,backjump time,result,node ratio,time ratio,time per node ratio
0,almost_full,82.0,0.002396070957183838,82.0,0.002324559688568115,True,0.0,2.9843976032398007,-2.9843976032398
1,easy1,113.1,0.003733499050140381,114.88,0.00415257453918457,True,-1.5738284703801946,-11.224437423949754,9.501119778608443
2,easy10,100.14,0.0032756757736206055,102.98,0.003475346565246582,True,-2.836029558617935,-6.095374208268447,3.1695420753357038
3,easy2,1384.1,0.04161800146102905,1144.59,0.04366173982620239,True,17.304385521277364,-4.910695811261561,26.86362498614305
4,easy3,231.37,0.007382640838623047,237.6,0.009643795490264893,True,-2.692656783506937,-30.627577224606643,27.20248729401375
5,easy4,118.44,0.003939039707183838,115.7,0.004146456718444824,True,2.3134076325565687,-5.265540871340979,7.758372558064909
6,easy5,383.24,0.012584135532379151,379.36,0.016946873664855956,True,1.01242041540549,-34.66828097147031,36.0456266245351
7,easy6,900.18,0.028447442054748535,1005.85,0.04388175487518311,True,-11.738763358439423,-54.2553475823344,38.05002329594868
8,easy7,99.32,0.0033532071113586428,98.67,0.0035535383224487307,True,0.6544502617801047,-5.974138497828214,6.672235707097994
9,easy8,96.06,0.003401830196380615,93.98,0.003349466323852539,True,2.165313345825526,1.539240063884532,0.6398647083128287
10,easy9,118.18,0.0037617230415344237,118.72,0.004146697521209716,True,-0.4569301066170249,-10.233721135331882,9.732333214687873
11,intermediate1,168.57,0.005725259780883789,174.93,0.0063695812225341795,True,-3.772913329773981,-11.253815765459734,7.208979775085768
12,intermediate10,1030.89,0.03255944490432739,1020.74,0.04287870168685913,True,0.9845861343111292,-31.693492070769814,33.00301832344227
13,intermediate2,131.52,0.004439396858215332,135.41,0.005080766677856445,True,-2.9577250608272503,-14.44690333442296,11.15918683108715
14,intermediate3,105.76,0.0035253405570983888,104.58,0.003940169811248779,True,1.115733736762481,-11.766735176264481,13.027792743759079
15,intermediate4,180.37,0.005693504810333252,174.76,0.007036116123199463,True,3.1102733270499527,-23.581041494652432,27.54808080356096
16,intermediate5,235.76,0.007891528606414795,247.39,0.011009089946746826,True,-4.9329826942653545,-39.50466368624961,32.94649843488296
17,intermediate6,415.12,0.013649446964263916,404.24,0.017763333320617677,True,2.6209288880323762,-30.139361893287646,33.642004596727304
18,intermediate7,1455.2,0.0446017050743103,1052.47,0.04212392330169678,True,27.675233644859816,5.555339674000494,30.584035090636945
19,intermediate8,140.05,0.004272735118865967,143.12,0.005144622325897217,True,-2.192074259193145,-20.405355759729233,17.822647142783058
20,intermediate9,102.2,0.0030531048774719237,102.56,0.0032872557640075684,True,-0.35225048923679064,-7.66901979828891,7.29109791803855
21,expert1,182.95,0.00542569637298584,186.14,0.0071380877494812015,True,-1.7436458048647172,-31.560185063727797,29.305585778071713
22,expert10,416.59,0.012286150455474853,425.35,0.016357567310333252,True,-2.1027869127919536,-33.13799331710791,30.39605916514726
23,expert2,111.61,0.003335099220275879,116.1,0.0038388538360595702,True,-4.022937012812472,-15.104183663787921,10.652811379668728
24,expert3,145.18,0.004366343021392822,147.71,0.0053065109252929685,True,-1.7426642788262847,-21.531665460740367,19.450091299033065
25,expert4,156.8,0.004615046977996826,158.61,0.0054080915451049805,True,-1.1543367346938775,-17.18351703399856,15.84628581299773
26,expert5,119.42,0.003638770580291748,116.56,0.003902132511138916,True,2.3949087255066153,-7.237463521608752,9.868651631511568
27,expert6,467.53,0.013676831722259522,461.49,0.017493932247161864,True,1.2918957072273438,-27.909041314360916,29.58311051053757
28,expert7,140.52,0.0042852449417114255,133.3,0.004879908561706543,True,5.138058639339596,-13.876680362576089,20.044518202779823
29,expert8,1507.88,0.043801913261413576,1392.48,0.05456637382507324,True,7.653128896198637,-24.575264382065253,34.89926125373979
30,expert9,256.11,0.007431759834289551,270.7,0.009959969520568848,True,-5.696770918745851,-34.01853294668577,26.79536795223475
