;instance;time;backtrack nodes;time_limit;finished
0;almost_full;0.015970945358276367;82;30;True
1;easy1;0.023005962371826172;82;30;True
2;easy10;0.025992631912231445;82;30;True
3;easy2;0.24503803253173828;1204;30;True
4;easy3;0.0319671630859375;127;30;True
5;easy4;0.019964218139648438;84;30;True
6;easy5;0.06003403663635254;141;30;True
7;easy6;0.050963640213012695;181;30;True
8;easy7;0.01799917221069336;93;30;True
9;easy8;0.019001007080078125;91;30;True
10;easy9;0.018967866897583008;82;30;True
11;intermediate1;0.023992300033569336;90;30;True
12;intermediate10;0.05300784111022949;202;30;True
13;intermediate2;0.01998448371887207;90;30;True
14;intermediate3;0.016967296600341797;82;30;True
15;intermediate4;0.0359797477722168;122;30;True
16;intermediate5;0.0429842472076416;201;30;True
17;intermediate6;0.05299711227416992;242;30;True
18;intermediate7;0.13596367835998535;607;30;True
19;intermediate8;0.013972043991088867;83;30;True
20;intermediate9;0.014964103698730469;83;30;True
21;expert1;0.024965524673461914;106;30;True
22;expert10;0.05199933052062988;215;30;True
23;expert2;0.028984785079956055;113;30;True
24;expert3;0.020978212356567383;94;30;True
25;expert4;0.02196502685546875;84;30;True
26;expert5;0.024049997329711914;98;30;True
27;expert6;0.0750274658203125;296;30;True
28;expert7;0.026999235153198242;112;30;True
29;expert8;0.12699484825134277;459;30;True
30;expert9;0.02300095558166504;98;30;True
