;instance;smallest nodes;mean random nodes;smallest time;mean random time
0;almost_full;82;82.0;0.016016006469726562;0.0061
1;easy1;82;444.2;0.01495814323425293;0.1517
2;easy10;82;1129.7;0.014039039611816406;0.3778
3;easy2;1204;2573.1;0.46700096130371094;0.6917
4;easy3;127;817.1;0.02303481101989746;0.2333
5;easy4;84;753.0;0.019999980926513672;0.2364
6;easy5;141;592.8;0.04998183250427246;0.207
7;easy6;181;4951.3;0.05599689483642578;1.6466
8;easy7;93;104.6;0.02099776268005371;0.0243
9;easy8;91;87.3;0.01799750328063965;0.0206
10;easy9;82;100.9;0.03099989891052246;0.0227
11;intermediate1;90;187.5;0.02499985694885254;0.0714
12;intermediate10;202;5096.7;0.05199146270751953;1.7981
13;intermediate2;90;929.3;0.018999814987182617;0.2682
14;intermediate3;82;98.1;0.016002416610717773;0.0212
15;intermediate4;122;355.0;0.03403806686401367;0.1105
16;intermediate5;201;2076.6;0.042963266372680664;0.7518
17;intermediate6;242;311.9;0.06603646278381348;0.122
18;intermediate7;607;3854.4;0.1770036220550537;1.2934
19;intermediate8;83;487.4;0.019001007080078125;0.1823
20;intermediate9;83;83.9;0.02103281021118164;0.0303
21;expert1;106;780.9;0.03299689292907715;0.3095
22;expert10;215;1858.9;0.05703544616699219;0.6771
23;expert2;113;142.4;0.021997690200805664;0.0344
24;expert3;94;116.1;0.024021387100219727;0.0315
25;expert4;84;314.0;0.017998218536376953;0.1375
26;expert5;98;117.0;0.028002262115478516;0.0329
27;expert6;296;2552.2;0.09800004959106445;0.9497
28;expert7;112;188.9;0.023035049438476562;0.055
29;expert8;459;999.6;0.11896252632141113;0.4219
30;expert9;98;2834.2;0.033995628356933594;0.9175
